Date,Description,Withdrawals,Deposits,Category,Balance
"03/03/2026","ACH CREDIT ACME SOFTWARE LLC   BONUS","","$1,000.00","Other Income","$44,601.46"
"03/02/2026","POS PURCHASE          POS72849103  0003421 TRADER JOES #517             BROOKLYN     NY","$67.89","","Groceries","$43,601.46"
"03/01/2026","RECURRING DEBIT CARD  XXXXX3815 NETFLIX.COM               NETFLIX.COM CA","$22.99","","Entertainment","$43,669.35"
"02/28/2026","DEBIT CARD PURCHASE   XXXXX4291 Amazon Prime*KV2819YT5    Amzn.com/bi WA","$14.99","","Subscriptions and Renewals","$43,692.34"
"02/27/2026","RECURRING DEBIT CARD  XXXXX3850 OPENAI *COMPUTE TIER      HTTPSOPENAI CA","$200.00","","Services and Supplies","$43,707.33"
"02/27/2026","RECURRING DEBIT CARD  XXXXX3847 REPLICATE                 HTTPSREPLIC CA","$25.00","","Travel","$43,907.33"
"02/26/2026","POS PURCHASE          POS72849103  0003421 TRADER JOES #517             BROOKLYN     NY","$78.45","","Groceries","$43,932.33"
"02/25/2026","RECURRING DEBIT CARD  XXXXX3851 OPENAI *AGENTS API        HTTPSOPENAI CA","$200.00","","Services and Supplies","$44,010.78"
"02/25/2026","DEBIT CARD PURCHASE   XXXXX4291 DD DOORDASH SWEETGREEN   XXXXX2187 CA","$19.87","","Restaurants and Dining","$44,210.78"
"02/24/2026","RECURRING DEBIT CARD  XXXXX3842 OPENAI *CHATGPT SUBSCR    HTTPSOPENAI CA","$20.00","","Subscriptions and Renewals","$44,230.65"
"02/24/2026","RECURRING DEBIT CARD  XXXXX3843 OPENAI *API USAGE         HTTPSOPENAI CA","$87.50","","Services and Supplies","$44,250.65"
"02/23/2026","POS PURCHASE          POS001       0002891 WHOLE FOODS MKT #           MANHATTAN    NY","$112.34","","Groceries","$44,338.15"
"02/22/2026","INTEREST PAYMENT ","","$1.89","Interest","$44,450.49"
"02/22/2026","RECURRING DEBIT CARD  XXXXX3852 ANTHROPIC *COMPUTE API    HTTPSWWW.AN CA","$200.00","","Services and Supplies","$44,448.60"
"02/22/2026","RECURRING DEBIT CARD  XXXXX3823 ANTHROPIC                 HTTPSWWW.AN CA","$20.00","","Clothing and Shoes","$44,648.60"
"02/21/2026","DEBIT CARD PURCHASE   XXXXX4291 Amazon.com*WS9V428H2      Amzn.com/bi WA","$234.56","","General Merchandise","$44,668.60"
"02/20/2026","RECURRING DEBIT CARD  XXXXX3853 ANTHROPIC *AGENTS TIER    HTTPSWWW.AN CA","$200.00","","Services and Supplies","$44,903.16"
"02/20/2026","RECURRING DEBIT CARD  XXXXX3839 TRADINGVIEWVPRODUCT       TV.SUPPORT  OH","$14.95","","Services and Supplies","$45,103.16"
"02/19/2026","DEBIT CARD PURCHASE   XXXXX4291 SPECTRUM NYC             XXXXX3419 NY","$85.00","","Cable","$45,118.11"
"02/18/2026","ACH WEB         XXXXX9521 VENMO            PAYMENT","$75.00","","Transfers","$45,203.11"
"02/17/2026","RECURRING DEBIT CARD  XXXXX3835 CURSOR, AI POWERED IDE    HTTPSCURSOR NY","$20.00","","Utilities","$45,278.11"
"02/16/2026","POS PURCHASE          POS001       0003912 PARK SLOPE FOOD COOP         BROOKLYN     NY","$45.67","","Groceries","$45,298.11"
"02/15/2026","ACH CREDIT ACME SOFTWARE LLC   PAYROLL","","$8,250.00","Other Income","$45,343.78"
"02/15/2026","RECURRING DEBIT CARD  XXXXX3854 GOOGLE *GEMINI COMPUTE    g.co/HelpPa CA","$200.00","","Services and Supplies","$37,093.78"
"02/15/2026","RECURRING DEBIT CARD  XXXXX3834 ELEVENLABS.IO             ELEVENLABS. NY","$22.00","","Groceries","$37,293.78"
"02/14/2026","DEBIT CARD PURCHASE   XXXXX4291 FLOWERS BY DESIGN         NEW YORK    NY","$89.99","","Other Expenses","$37,315.78"
"02/13/2026","RECURRING DEBIT CARD  XXXXX3855 GOOGLE *GEMINI AGENTS     g.co/HelpPa CA","$200.00","","Services and Supplies","$37,405.77"
"02/13/2026","ACH WEB         XXXXX2847 CON EDISON       CONED","$102.45","","Utilities","$37,605.77"
"02/12/2026","ACH WEB         7R71KCH93D2 DEPT EDUCATION   STUDENT LN","$295.78","","Loans","$37,708.22"
"02/11/2026","RECURRING DEBIT CARD  XXXXX3823 BROOKLYN BOULDERS         WWW.BRKBOUL NY","$92.50","","Subscriptions and Renewals","$38,004.00"
"02/10/2026","DEBIT CARD PURCHASE   XXXXX4291 TST* RUSS & DAUGHTERS     NEW YORK    NY","$42.34","","Restaurants and Dining","$38,096.50"
"02/09/2026","DEBIT CARD PURCHASE   XXXXX4291 NATIONAL GRID NY          XXXXX5672 NY","$98.76","","Utilities","$38,138.84"
"02/08/2026","RECURRING DEBIT CARD  XXXXX3818 GOOGLE *CLOUD Jv9Wz6      g.co/HelpPa CA","$56.23","","Services and Supplies","$38,237.60"
"02/07/2026","RECURRING DEBIT CARD  XXXXX3818 GOOGLE *GSUITE_appdev     cc@google.c CA","$18.00","","Services and Supplies","$38,293.83"
"02/06/2026","DEBIT CARD PURCHASE   XXXXX4291 AVA REALTY MANAGEMENT    XXXXX6923 NY","$2,395.00","","Services and Supplies","$38,311.83"
"02/05/2026","POS PURCHASE          POS99999999  0011428 TRADER JOES #517             BROOKLYN     NY","$56.78","","Groceries","$40,706.83"
"02/04/2026","DEBIT CARD PURCHASE   XXXXX4291 AMAZON MKTPL*WD8SO2Y02    Amzn.com/bi WA","$123.45","","General Merchandise","$40,763.61"
"02/03/2026","RECURRING DEBIT CARD  XXXXX3817 HELP.MAX.COM              MAX.COM     NY","$15.99","","Entertainment","$40,887.06"
"02/03/2026","RECURRING DEBIT CARD  XXXXX3816 SPOTIFY USA               SPOTIFY.COM NY","$10.99","","Entertainment","$40,903.05"
"02/02/2026","ACH WEBRECUR   XXXXX2714 EDUCATIONAL COMP ACH LNPYMT","$127.28","","Loans","$40,914.04"
"02/01/2026","RECURRING DEBIT CARD  XXXXX3815 NETFLIX.COM               NETFLIX.COM CA","$22.99","","Entertainment","$41,041.32"
"01/31/2026","DEBIT CARD PURCHASE   XXXXX4291 Amazon Prime*KV2819YT5    Amzn.com/bi WA","$14.99","","-","$41,064.31"
"01/30/2026","POS PURCHASE          POS00003412  0004582 TRADER JOES #517             BROOKLYN     NY","$45.67","","-","$41,079.30"
