Date,Description,Withdrawals,Deposits,Category,Balance
"02/03/2026","ACH CREDIT FREELANCE PROJECT PAYMENT","","$500.00","Other Income","$41,444.03"
"02/02/2026","RECURRING DEBIT CARD  XXXXX3820 GITHUB INC                GITHUB.COM  CA","$4.00","","Services and Supplies","$40,944.03"
"02/01/2026","DEBIT CARD PURCHASE   XXXXX4291 STARBUCKS COFFEE          NEW YORK    NY","$8.75","","Restaurants and Dining","$40,948.03"
"01/31/2026","DEBIT CARD PURCHASE   XXXXX4291 Amazon Prime*KV2819YT5    Amzn.com/bi WA","$14.99","","Subscriptions and Renewals","$40,956.78"
"01/30/2026","RECURRING DEBIT CARD  XXXXX3850 OPENAI *COMPUTE TIER      HTTPSOPENAI CA","$200.00","","Services and Supplies","$40,971.77"
"01/29/2026","RECURRING DEBIT CARD  XXXXX3847 REPLICATE                 HTTPSREPLIC CA","$12.50","","Travel","$41,171.77"
"01/28/2026","RECURRING DEBIT CARD  XXXXX3851 OPENAI *AGENTS API        HTTPSOPENAI CA","$200.00","","Services and Supplies","$41,184.27"
"01/28/2026","POS PURCHASE          POS72849103  0003421 TRADER JOES #517             BROOKLYN     NY","$67.23","","Groceries","$41,384.27"
"01/27/2026","DEBIT CARD PURCHASE   XXXXX4291 DD DOORDASH CHIPOTLEMEX  XXXXX2187 CA","$24.56","","Restaurants and Dining","$41,451.50"
"01/26/2026","RECURRING DEBIT CARD  XXXXX3842 OPENAI *CHATGPT SUBSCR    HTTPSOPENAI CA","$20.00","","Subscriptions and Renewals","$41,476.06"
"01/25/2026","RECURRING DEBIT CARD  XXXXX3852 ANTHROPIC *COMPUTE API    HTTPSWWW.AN CA","$200.00","","Services and Supplies","$41,496.06"
"01/25/2026","POS PURCHASE          POS001       0002891 WHOLE FOODS MKT #           MANHATTAN    NY","$89.34","","Groceries","$41,696.06"
"01/24/2026","INTEREST PAYMENT ","","$1.25","Interest","$41,785.40"
"01/24/2026","RECURRING DEBIT CARD  XXXXX3823 ANTHROPIC                 HTTPSWWW.AN CA","$20.00","","Clothing and Shoes","$41,784.15"
"01/23/2026","RECURRING DEBIT CARD  XXXXX3853 ANTHROPIC *AGENTS TIER    HTTPSWWW.AN CA","$200.00","","Services and Supplies","$41,804.15"
"01/23/2026","DEBIT CARD PURCHASE   XXXXX4291 Amazon.com*TK8WI3AL7      Amzn.com/bi WA","$45.67","","General Merchandise","$42,004.15"
"01/22/2026","RECURRING DEBIT CARD  XXXXX3839 TRADINGVIEWVPRODUCT       TV.SUPPORT  OH","$14.95","","Services and Supplies","$42,049.82"
"01/21/2026","DEBIT CARD PURCHASE   XXXXX4291 SPECTRUM NYC             XXXXX3419 NY","$85.00","","Cable","$42,064.77"
"01/20/2026","ACH WEB         XXXXX9521 VENMO            PAYMENT","$150.00","","Transfers","$42,149.77"
"01/19/2026","RECURRING DEBIT CARD  XXXXX3835 CURSOR, AI POWERED IDE    HTTPSCURSOR NY","$20.00","","Utilities","$42,299.77"
"01/18/2026","RECURRING DEBIT CARD  XXXXX3854 GOOGLE *GEMINI COMPUTE    g.co/HelpPa CA","$200.00","","Services and Supplies","$42,319.77"
"01/18/2026","POS PURCHASE          POS001       0003912 PARK SLOPE FOOD COOP         BROOKLYN     NY","$52.18","","Groceries","$42,519.77"
