Date,Description,Withdrawals,Deposits,Category,Balance
"04/02/2026","ACH CREDIT ACME SOFTWARE LLC   BONUS","","$500.00","Other Income","$46,892.15"
"04/01/2026","POS PURCHASE          POS72849103  0003421 TRADER JOES #517             BROOKLYN     NY","$72.34","","Groceries","$46,392.15"
"03/31/2026","RECURRING DEBIT CARD  XXXXX3815 NETFLIX.COM               NETFLIX.COM CA","$22.99","","Entertainment","$46,464.49"
"03/30/2026","DEBIT CARD PURCHASE   XXXXX4291 Amazon Prime*KV2819YT5    Amzn.com/bi WA","$14.99","","Subscriptions and Renewals","$46,487.48"
"03/29/2026","RECURRING DEBIT CARD  XXXXX3850 OPENAI *COMPUTE TIER      HTTPSOPENAI CA","$200.00","","Services and Supplies","$46,502.47"
"03/28/2026","RECURRING DEBIT CARD  XXXXX3847 REPLICATE                 HTTPSREPLIC CA","$35.00","","Services and Supplies","$46,702.47"
"03/27/2026","POS PURCHASE          POS72849103  0003421 TRADER JOES #517             BROOKLYN     NY","$89.56","","Groceries","$46,737.47"
"03/26/2026","RECURRING DEBIT CARD  XXXXX3851 OPENAI *AGENTS API        HTTPSOPENAI CA","$250.00","","Services and Supplies","$46,827.03"
"03/25/2026","DEBIT CARD PURCHASE   XXXXX4291 DD DOORDASH SWEETGREEN   XXXXX2187 CA","$24.50","","Restaurants and Dining","$47,077.03"
"03/24/2026","RECURRING DEBIT CARD  XXXXX3842 OPENAI *CHATGPT SUBSCR    HTTPSOPENAI CA","$20.00","","Subscriptions and Renewals","$47,101.53"
"03/23/2026","RECURRING DEBIT CARD  XXXXX3843 OPENAI *API USAGE         HTTPSOPENAI CA","$156.75","","Services and Supplies","$47,121.53"
"03/22/2026","POS PURCHASE          POS001       0002891 WHOLE FOODS MKT #           MANHATTAN    NY","$134.89","","Groceries","$47,278.28"
"03/21/2026","INTEREST PAYMENT ","","$2.15","Interest","$47,413.17"
"03/20/2026","RECURRING DEBIT CARD  XXXXX3852 ANTHROPIC *COMPUTE API    HTTPSWWW.AN CA","$275.00","","Services and Supplies","$47,411.02"
"03/19/2026","RECURRING DEBIT CARD  XXXXX3823 ANTHROPIC                 HTTPSWWW.AN CA","$20.00","","Subscriptions and Renewals","$47,686.02"
"03/18/2026","DEBIT CARD PURCHASE   XXXXX4291 Amazon.com*WS9V428H2      Amzn.com/bi WA","$189.99","","General Merchandise","$47,706.02"
"03/17/2026","RECURRING DEBIT CARD  XXXXX3853 ANTHROPIC *AGENTS TIER    HTTPSWWW.AN CA","$200.00","","Services and Supplies","$47,896.01"
"03/16/2026","ACH CREDIT ACME SOFTWARE LLC   PAYROLL","","$8,250.00","Other Income","$48,096.01"
"03/15/2026","RECURRING DEBIT CARD  XXXXX3839 TRADINGVIEWVPRODUCT       TV.SUPPORT  OH","$14.95","","Services and Supplies","$39,846.01"
"03/14/2026","DEBIT CARD PURCHASE   XXXXX4291 SPECTRUM NYC             XXXXX3419 NY","$85.00","","Cable","$39,860.96"
"03/13/2026","ACH WEB         XXXXX9521 VENMO            PAYMENT","$120.00","","Transfers","$39,945.96"
"03/12/2026","RECURRING DEBIT CARD  XXXXX3835 CURSOR, AI POWERED IDE    HTTPSCURSOR NY","$20.00","","Subscriptions and Renewals","$40,065.96"
"03/11/2026","POS PURCHASE          POS001       0003912 PARK SLOPE FOOD COOP         BROOKLYN     NY","$67.45","","Groceries","$40,085.96"
"03/10/2026","RECURRING DEBIT CARD  XXXXX3854 GOOGLE *GEMINI COMPUTE    g.co/HelpPa CA","$225.00","","Services and Supplies","$40,153.41"
"03/09/2026","RECURRING DEBIT CARD  XXXXX3834 ELEVENLABS.IO             ELEVENLABS. NY","$22.00","","Subscriptions and Renewals","$40,378.41"
"03/08/2026","DEBIT CARD PURCHASE   XXXXX4291 UBER *TRIP                SAN FRANCI CA","$45.67","","Travel","$40,400.41"
"03/07/2026","RECURRING DEBIT CARD  XXXXX3855 GOOGLE *GEMINI AGENTS     g.co/HelpPa CA","$200.00","","Services and Supplies","$40,446.08"
"03/06/2026","ACH WEB         XXXXX2847 CON EDISON       CONED","$118.50","","Utilities","$40,646.08"
"03/05/2026","ACH WEB         7R71KCH93D2 DEPT EDUCATION   STUDENT LN","$295.78","","Loans","$40,764.58"
"03/04/2026","RECURRING DEBIT CARD  XXXXX3823 BROOKLYN BOULDERS         WWW.BRKBOUL NY","$92.50","","Subscriptions and Renewals","$41,060.36"
"03/03/2026","DEBIT CARD PURCHASE   XXXXX4291 TST* DI FARA PIZZA        BROOKLYN    NY","$38.75","","Restaurants and Dining","$41,152.86"
"03/02/2026","DEBIT CARD PURCHASE   XXXXX4291 NATIONAL GRID NY          XXXXX5672 NY","$105.23","","Utilities","$41,191.61"
"03/01/2026","RECURRING DEBIT CARD  XXXXX3818 GOOGLE *CLOUD Jv9Wz6      g.co/HelpPa CA","$62.45","","Services and Supplies","$41,296.84"
"03/01/2026","ACH CREDIT ACME SOFTWARE LLC   PAYROLL","","$8,250.00","Other Income","$41,359.29"
"02/28/2026","RECURRING DEBIT CARD  XXXXX3818 GOOGLE *GSUITE_appdev     cc@google.c CA","$18.00","","Services and Supplies","$33,109.29"
"02/28/2026","DEBIT CARD PURCHASE   XXXXX4291 AVA REALTY MANAGEMENT    XXXXX6923 NY","$2,395.00","","Services and Supplies","$33,127.29"
"02/27/2026","POS PURCHASE          POS99999999  0011428 TRADER JOES #517             BROOKLYN     NY","$62.45","","Groceries","$35,522.29"
"02/26/2026","DEBIT CARD PURCHASE   XXXXX4291 AMAZON MKTPL*WD8SO2Y02    Amzn.com/bi WA","$87.99","","General Merchandise","$35,584.74"
"02/25/2026","RECURRING DEBIT CARD  XXXXX3817 HELP.MAX.COM              MAX.COM     NY","$15.99","","Entertainment","$35,672.73"
"02/24/2026","RECURRING DEBIT CARD  XXXXX3816 SPOTIFY USA               SPOTIFY.COM NY","$10.99","","Entertainment","$35,688.72"
"02/23/2026","ACH WEBRECUR   XXXXX2714 EDUCATIONAL COMP ACH LNPYMT","$127.28","","Loans","$35,699.71"
