Date,Description,Withdrawals,Deposits,Category,Balance
"03/03/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$750.00","Transfers","$16,476.68"
"03/02/2026","WIRE TRANSFER OUT            INVESTMENT ACCOUNT","$500.00","","Transfers","$15,726.68"
"03/01/2026","ACH TRANSFER TO CHECKING      XXXXXX5678","$300.00","","Transfers","$16,226.68"
"02/28/2026","INTEREST PAYMENT SAVINGS","","$14.23","Interest","$16,526.68"
"02/15/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$500.00","Transfers","$16,512.45"
"02/14/2026","INTEREST PAYMENT SAVINGS","","$9.87","Interest","$16,012.45"
"02/01/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$500.00","Transfers","$16,002.58"
"02/01/2026","INTEREST PAYMENT SAVINGS","","$8.45","Interest","$15,502.58"
"01/31/2026","INTEREST PAYMENT SAVINGS","","$7.68","-","$15,494.13"
"01/15/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$400.00","-","$15,486.45"
"01/01/2026","INTEREST PAYMENT SAVINGS","","$6.50","-","$15,086.45"
"01/10/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$300.00","-","$15,079.95"
