Date,Description,Withdrawals,Deposits,Category,Balance
"02/03/2026","INTEREST PAYMENT SAVINGS","","$15.50","Interest","$31,977.95"
"02/02/2026","ACH TRANSFER TO EXTERNAL SAVINGS  ALLY BANK","$100.00","","Transfers","$31,962.45"
"02/01/2026","ATM WITHDRAWAL          CHASE ATM 5TH AVE        NEW YORK    NY","$200.00","","ATM/Cash","$32,062.45"
"01/31/2026","INTEREST PAYMENT SAVINGS","","$12.45","Interest","$32,262.45"
"01/16/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$500.00","Transfers","$32,250.00"
"01/15/2026","INTEREST PAYMENT SAVINGS","","$8.32","Interest","$31,750.00"
"01/15/2026","WORK BONUS DEPOSIT","","$15,000.00","Income","$31,741.68"
"01/15/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$250.00","Transfers","$16,741.68"
"01/15/2026","DIRECT DEPOSIT PAYROLL","","$1,500.00","Income","$16,491.68"
"01/02/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$1,000.00","Transfers","$14,991.68"
"01/01/2026","INTEREST PAYMENT SAVINGS","","$7.89","Interest","$13,991.68"
"12/31/2025","INTEREST PAYMENT SAVINGS","","$6.54","-","$13,983.79"
"12/15/2025","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$500.00","-","$13,977.25"
