Date,Description,Withdrawals,Deposits,Category,Balance
"04/01/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$600.00","Transfers","$18,241.56"
"03/31/2026","WIRE TRANSFER OUT            INVESTMENT ACCOUNT","$400.00","","Transfers","$17,641.56"
"03/28/2026","INTEREST PAYMENT SAVINGS","","$16.88","Interest","$18,041.56"
"03/15/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$750.00","Transfers","$18,024.68"
"03/14/2026","INTEREST PAYMENT SAVINGS","","$12.45","Interest","$17,274.68"
"03/01/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$600.00","Transfers","$17,262.23"
"03/01/2026","INTEREST PAYMENT SAVINGS","","$10.55","Interest","$16,662.23"
"02/28/2026","INTEREST PAYMENT SAVINGS","","$8.23","Interest","$16,651.68"
"02/15/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$500.00","Transfers","$16,643.45"
"02/01/2026","ACH TRANSFER FROM CHECKING    XXXXXX1234","","$450.00","Transfers","$16,143.45"
